,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
331,331,"((0, 1, 0), (1, 0, 0))",15734.560406317756,1.2945068200524048,2.900800646023678,0.17520368575795717,4.84339550803038,Dual Control,0.2118441422119579,Dual Control
332,332,"((0, 0, 1), (1, 0, 0))",85344125.26435986,2.415019111635475,2.6885350129911134,0.4018181971868344,2.689648246679269,Downstream Activation,0.2118441422119579,Dual Control
333,333,"((0, 1, 0), (1, 0, 0))",187567.6357633191,3.5596469426594854,0.8007814449147679,0.4291166431768879,4.27199214760767,Dual Control,0.2118441422119579,Dual Control
334,334,"((0, 1, 0), (1, 0, 0))",5529354.761552072,3.204174157910809,0.9095620684416712,2.0338964131247286,3.7606870993462866,Dual Control,0.2118441422119579,Dual Control
335,335,"((0, 1, 0), (1, 0, 0))",36596473.89569726,2.7961827883500057,4.067861262915709,4.126174309625811,4.617048840386057,Dual Control,0.2118441422119579,Dual Control
336,336,"((0, 1, 0), (1, 0, 0))",1048249.9579802218,0.3407780129138587,1.2091070648419147,6.123600825080642,5.5047730863862485,Dual Control,0.2118441422119579,Dual Control
337,337,"((0, 1, 0), (1, 0, 0))",500635.22113805456,0.9488219275213183,1.6260565431231158,0.6249710686873589,1.5498170917915624,Dual Control,0.2118441422119579,Dual Control
338,338,"((0, 0, 1), (0, 0, 1))",13977417.572144989,0.9773074361524556,2.898430390118198,3.457891505388967,6.046633908871451,Open Loop,0.2118441422119579,Dual Control
339,339,"((0, 1, 0), (0, 0, 1))",5927129.416964143,1.3726208233305013,1.4132098648666083,1.738000602557924,0.6957172435248564,Upstream Repression,0.2118441422119579,Dual Control
340,340,"((0, 1, 0), (1, 0, 0))",15736866.131556233,2.3319024675169633,3.362855313967933,2.3804716448169665,2.9820346344347017,Dual Control,0.2118441422119579,Dual Control
341,341,"((0, 0, 1), (1, 0, 0))",1483175.84655309,0.3184365269686311,0.29844464508287416,2.728937562464638,7.741218331487241,Downstream Activation,0.2118441422119579,Dual Control
342,342,"((0, 1, 0), (1, 0, 0))",108569.68970411396,0.10298938908798938,3.518567561205622,3.241265056684294,5.032038670002732,Dual Control,0.2118441422119579,Dual Control
343,343,"((0, 1, 0), (1, 0, 0))",1399044.9086138883,1.6546745278978632,1.9637912835048974,1.0413375193533123,3.3914726007859746,Dual Control,0.2118441422119579,Dual Control
344,344,"((0, 1, 0), (1, 0, 0))",339.86284696313726,0.7360697508013931,1.712829864139208,0.030444197998627492,1.9395752014685634,Dual Control,0.2118441422119579,Dual Control
345,345,"((0, 1, 0), (1, 0, 0))",7577646.5483565675,3.312724961987864,4.338442390896692,1.358531068447609,4.494055099960691,Dual Control,0.2118441422119579,Dual Control
346,346,"((0, 0, 1), (0, 0, 1))",169636146.485174,3.404739336738944,3.7031207271568025,1.099183552983991,6.961706790595661,Open Loop,0.2118441422119579,Dual Control
347,347,"((0, 1, 0), (1, 0, 0))",125164.54045407964,2.0499687002367675,1.4413466610661496,0.380848988763593,4.102315892220139,Dual Control,0.2118441422119579,Dual Control
348,348,"((0, 1, 0), (0, 0, 1))",12974512.646481264,2.5489167174003247,4.587975706867375,0.7376842133542096,7.723475651478706,Upstream Repression,0.2118441422119579,Dual Control
349,349,"((0, 1, 0), (1, 0, 0))",4462713.796349948,3.066508317935071,3.0778733607615623,1.5552101147793267,6.731239311720417,Dual Control,0.2118441422119579,Dual Control
350,350,"((0, 0, 1), (1, 0, 0))",273169057.74552095,4.3205574940673355,4.122821706319441,6.156366815531517,4.903832560541881,Downstream Activation,0.2118441422119579,Dual Control
351,351,"((0, 1, 0), (1, 0, 0))",99067707.462154,3.9310212646971996,4.154950597237061,6.582997969790637,5.306003860450462,Dual Control,0.2118441422119579,Dual Control
352,352,"((0, 1, 0), (1, 0, 0))",1766946.454735367,2.528066304119324,3.680861866289368,0.7481634696718473,3.646429731095221,Dual Control,0.2118441422119579,Dual Control
353,353,"((0, 1, 0), (1, 0, 0))",72879064.32452166,4.8467260900008355,4.931408474401918,2.782955480173253,2.6888126615163244,Dual Control,0.2118441422119579,Dual Control
354,354,"((0, 1, 0), (1, 0, 0))",23.99760993491789,1.4983847247620594,1.102553495615932,0.0169503505422852,6.1697575181318385,Dual Control,0.2118441422119579,Dual Control
